Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001755|True|Reglementaire subsidies voor Geïntegreerde Diensten voor Thuisverzorging|Reglementaire subsidies voor Geïntegreerde Diensten voor Thuisverzorging
DVR000001756|True|Subsidies voor koepels van ziekenhuizen en geestelijke gezondheidszorg|Subsidies voor koepels van ziekenhuizen en geestelijke gezondheidszorg
DVR000001757|True|Subsidies voor proeftuinen GGZ|Subsidies voor proeftuinen GGZ
DVR000001758|True|Subsidies voor centra voor de menselijke erfelijkheid|Subsidies voor centra voor de menselijke erfelijkheid
DVR000001759|True|Subsidies voor voorzieningen in de gezondheidszorg in uitvoering van het sociaal akkoord|Subsidies voor voorzieningen in de gezondheidszorg in uitvoering van het sociaal akkoord
DVR000001760|True|Subsidies voor Centra Geestelijke Gezondheidszorg|Subsidies voor Centra Geestelijke Gezondheidszorg
DVR000001761|True|Subsidie aan Vlaamse Vereniging voor Geestelijke Gezondheid|Subsidie aan Vlaamse Vereniging voor Geestelijke Gezondheid
DVR000001762|True|Subsidie voor associatie beelvorming|Subsidie voor associatie beelvorming
DVR000001763|True|Subsidie voor familieplatform geestelijke gezondheid|Subsidie voor familieplatform geestelijke gezondheid
DVR000001764|True|Subsidie voor overlegplatformen geestelijke gezondheid|Subsidie voor overlegplatformen geestelijke gezondheid
DVR000001765|True|Projectsubsidies voor de geestelijke gezondheidszorg (GGZ)|Projectsubsidies voor de geestelijke gezondheidszorg (GGZ)
DVR000001766|True|Subsidies op basis van beheersovereenkomsten Preventief gezondheidsbeleid|Subsidies op basis van beheersovereenkomsten Preventief gezondheidsbeleid
DVR000001767|True|Subsidies op basis van andere overeenkomsten Preventief gezondheidsbeleid|Subsidies op basis van andere overeenkomsten Preventief gezondheidsbeleid
DVR000001768|True|Gereglementeerde subsidies Preventief gezondheidsbeleid|Gereglementeerde subsidies Preventief gezondheidsbeleid
DVR000001769|True|Facultatieve subsidies Preventief gezondheidsbeleid|Facultatieve subsidies Preventief gezondheidsbeleid
DVR000001770|True|Subsidiëring woonzorgcentra en rust- en verzorgingstehuizen.|Subsidiëring woonzorgcentra en rust- en verzorgingstehuizen.
DVR000001771|True|Subsidiëring dagverzorgingscentra conform art. 51 voor ouderen|Subsidiëring dagverzorgingscentra conform art. 51 voor ouderen
DVR000001772|True|Subsidiëring dagverzorgingscentra niet-conform art. 51 voor ouderen|Subsidiëring dagverzorgingscentra niet-conform art. 51 voor ouderen
DVR000001773|True|Subsidiëring dagcentra voor palliatieve zorg|Subsidiëring dagcentra voor palliatieve zorg
