Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002257|Milieuheffing voor het storten en verbranden van afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002258|Erkenning van kopers en exploitanten van hout in openbare bossen|Agentschap voor Natuur en Bos|OVO000089
DVR000002259|Verzekering burgerlijke aansprakelijkheid voor beheerders van bossen en natuurreservaten|Agentschap voor Natuur en Bos|OVO000089
DVR000002260|Vergoeding voor schade veroorzaakt door wild of door een beschermde diersoort|Agentschap voor Natuur en Bos|OVO000089
DVR000002261|Compensatieplicht bij ontbossing|Agentschap voor Natuur en Bos|OVO000089
DVR000002262|Kapmachtiging|Agentschap voor Natuur en Bos|OVO000089
DVR000002263|Erkenning als bodemsaneringsdeskundige type 1 of type 2|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002264|Erkenning of melding en subsidiëring van de verenigingen van gebruikers en mantelzorgers|Agentschap Zorg en Gezondheid|OVO000059
DVR000002265|Subsidie voor een regenwaterput (hemelwaterput)|Vlaamse Milieumaatschappij|OVO000092
DVR000002266|Toestemming of machtiging voor een activiteit in een bos of natuurreservaat|Agentschap voor Natuur en Bos|OVO000089
DVR000002267|Verklaring van selectieve sloop of ontmanteling|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002268|Toelating tot invoer van dierlijke bijproducten (DBP) vanuit een andere Europese lidstaat|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002269|Melden van de overdracht van een risicogrond|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002270|Een sociale woning huren bij een sociale huisvestingsmaatschappij|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000002271|Een sociale woning huren bij een sociaal verhuurkantoor|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000002272|Verplichte haalbaarheidsstudie naar alternatieve energiesystemen voor grote gebouwen|Vlaams Energieagentschap |OVO000090
DVR000002273|Beheerovereenkomst tussen de Vlaamse Landmaatschappij en landbouwers|Vlaamse Landmaatschappij|OVO000094
DVR000002274|Erkenning van de psychiatrische verzorgingstehuizen|Agentschap Zorg en Gezondheid|OVO000059
DVR000002275|Adviezen inzake de relatie tussen de kwaliteit van het milieu en gezondheid|Agentschap Zorg en Gezondheid|OVO000059
DVR000002276|Vaccins gratis ter beschikking van de vaccinatoren|Agentschap Zorg en Gezondheid|OVO000059
DVR000002277|Vaccinatiekaart|Agentschap Zorg en Gezondheid|OVO000059
DVR000002278|Normen voor ziekenhuizen|Agentschap Zorg en Gezondheid|OVO000059
DVR000002279|Subsidies voor investeringen in welzijns- en gezondheidsvoorzieningen|Departement Welzijn, Volksgezondheid en Gezin|OVO000056
DVR000002280|Overlegplatforms Geestelijke Gezondheidszorg|Agentschap Zorg en Gezondheid|OVO000059
DVR000002281|Subsidiëring van projecten en bijzondere initiatieven inzake Jongerenwelzijn|Jongerenwelzijn|OVO000058
DVR000002282|Heffing op de waterverontreiniging|Vlaamse Milieumaatschappij|OVO000092
DVR000002283|Voordelige lening voor ondernemingen (Win-winlening)|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002284|Subsidie voor de verwarringstechniek in de fruitteelt|Departement Landbouw en Visserij|OVO000082
DVR000002285|Subsidie voor mechanische onkruidbestrijding|Departement Landbouw en Visserij|OVO000082
DVR000002286|Premie voor het behoud van de gespecialiseerde zoogkoeienhouderij|Departement Landbouw en Visserij|OVO000082
DVR000002287|Subsidie voor de bescherming van de genetische diversiteit van rundveerassen|Departement Landbouw en Visserij|OVO000082
DVR000002288|Subsidie voor de bescherming van de genetische diversiteit van schapenrassen|Departement Landbouw en Visserij|OVO000082
DVR000002289|Subsidie voor de bedrijfseigen teelt van plantaardige eiwitbronnen (vlinderbloemigen)|Departement Landbouw en Visserij|OVO000082
DVR000002290|Subsidie voor milieuvriendelijke sierteelt|Departement Landbouw en Visserij|OVO000082
DVR000002291|Subsidie voor de bescherming van de genetische diversiteit van oude rassen hoogstammige fruitbomen|Departement Landbouw en Visserij|OVO000082
DVR000002292|Erkenning en subsidiëring van de instellingen voor schuldbemiddeling|Departement Welzijn, Volksgezondheid en Gezin|OVO000056
DVR000002293|Buzzy Pazz, van 6 tot 24 jaar|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002294|Legalisatie van Vlaamse getuigschriften en diploma's|Departement Onderwijs en Vorming|OVO000049
DVR000002295|Huur van een betaalbare woning in de Vlaamse rand rond Brussel via Vlabinvest|Vlabinvest - Agentschap voor grond- en woonbeleid voor Vlaams-Brabant|OVO003297
DVR000002296|Subsidie voor ontwikkelingseducatie|Departement Buitenlandse Zaken|OVO000032
DVR000002297|Grondstofverklaring voor gebruik van een bepaald materiaal als grondstof|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002298|Integraal Milieujaarverslag (IMJV)|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
