Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000003040|Vermindering verkooprecht en schenkbelasting|Onroerend Erfgoed|OVO004813
DVR000003041|Monitoring van tarieven en capaciteiten van stortplaatsen en verbrandingsinstallaties|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003042|Beheren van risicogronden (gemeentelijke inventaris)|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003043|Benchmarking en adviesverlening aan gemeenten qua beleid op vlak van huishoudelijke afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003044|Berekenen van materiaalprestaties van gebouwen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003045|In en uitvoer van afvalstoffen (EVOA richtlijn)|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003046|Melding sluiting risico-activiteit|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003047|Ontvangen en verwerken van bodemonderzoek|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003048|Opvolgen en uitvoeren van ambtshalve sanering|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003049|Platform voor bedrijven voor het valoriseren van afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003050|Registratie voor vooraf goedgekeurde inrichting voor het verwerken van afvalstoffen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003051|Vrijstelling van onderzoeksplicht|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000003052|Vergunnen en subsidiëren van vergunde zorgaanbieders|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000003053|Certificatie van gebouwen bij verkoop en nieuwbouw (EPB)|Vlaams Energieagentschap|OVO000090
DVR000003054|Energie-audit grote ondernemingen|Vlaams Energieagentschap|OVO000090
DVR000003055|Uitvoeren van een energieprestatiecertificaat (EPC) certificatie|Vlaams Energieagentschap|OVO000090
DVR000003056|Vrijstelling onroerende voorheffing voor materieel en outillage|Vlaamse Belastingdienst|OVO000031
DVR000003057|Vrijstelling van de onroerende voorheffing voor nationale domeingoederen|Vlaamse Belastingdienst|OVO000031
DVR000003058|Vrijstelling van de verkeersbelasting en de BIV voor elektrische voertuigen en voertuigen op aardgas (CNG/LNG)|Vlaamse Belastingdienst|OVO000031
DVR000003059|Gedeeltelijke vrijstelling van de onroerende voorheffing na renovatie van een verwaarloosde of onbewoonbare woning|Vlaamse Belastingdienst|OVO000031
DVR000003060|Verlaagd tarief voor beroepskopers|Vlaamse Belastingdienst|OVO000031
DVR000003061|Verlaagde schenkbelasting voor een gebouw met conformiteitsattest dat verhuurd wordt|Vlaamse Belastingdienst|OVO000031
DVR000003062|Vrijstelling van de onroerende voorheffing na verbouwen van een handelspand|Vlaamse Belastingdienst|OVO000031
DVR000003063|Vrijstelling van erfbelasting voor personen met een handicap|Vlaamse Belastingdienst|OVO000031
DVR000003064|Toelating om in een beschutte werkplaats te werken|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000003065|Een arbeidshandicap erkennen|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000003066|Begeleiding bij het zoeken van de juiste baan - VDAB|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000003067|Beroepsopleiding voor werkzoekenden, werknemers en zelfstandigen|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000003068|Sollicitatiecoaching voor werkzoekenden|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000003069|Uitvoeren van bedrijfsdoorlichting in het kader van het mestdecreet|Vlaamse Landmaatschappij|OVO000094
DVR000003070|Vergoeding bij realiseren gebruiksruil|Vlaamse Landmaatschappij|OVO000094
DVR000003071|Vergoeding gebiedsgericht project|Vlaamse Landmaatschappij|OVO000094
DVR000003072|Vergoeding natuurinrichting|Vlaamse Landmaatschappij|OVO000094
DVR000003073|Uittreksel akte natuurinrichting|Vlaamse Landmaatschappij|OVO000094
DVR000003074|Uittreksel akte ruilverkaverling|Vlaamse Landmaatschappij|OVO000094
DVR000003075|Aanvraag koopplicht|Vlaamse Landmaatschappij|OVO000094
DVR000003076|Subsidies voor landinrichtingswerken|Vlaamse Landmaatschappij|OVO000094
DVR000003077|Koop, verkoop en ruil van grond via de Vlaamse Grondenbank|Vlaamse Landmaatschappij|OVO000094
DVR000003078|Aanvraag voor vergoeding vrijwillige bedrijfsverplaatsing, bedrijfsreconversie of bedrijfsstopzetting|Vlaamse Landmaatschappij|OVO000094
DVR000003079|Begeleiden en ondersteunen van plattelandsinitiatieven|Vlaamse Landmaatschappij|OVO000094
DVR000003080|Ondersteunen van projecten Omgevingskwaliteit|Vlaamse Landmaatschappij|OVO000094
DVR000003081|Subsidiëren LEADER-samenwerkingsprojecten|Vlaamse Landmaatschappij|OVO000094
DVR000003082|Uitbetalingen compensatie cultuurschade|Vlaamse Landmaatschappij|OVO000094
DVR000003083|Recht van voorkoop in Vlaanderen|Vlaamse Landmaatschappij|OVO000094
DVR000003084|Verstrekken en beheren van schuldsaldoverzekering|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003085|Aanbieden van een financiële planningstool aan woonactoren|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003086|Ontwikkelen en verlenen van vorming aan woonactoren|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003087|Beheren van rekening-courant van Sociale Huisvestingsmaatschappijen|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003088|Doorbetalingsgarantie voor eigenaars van Sociale VerhuurKantoor (SVK)-woningen|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003089|Openbare ruimte aanleggen|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003090|Technische en administratieve ondersteuning bieden van start ontwerp tot oplevering van de bouwwerken|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003091|Financiering voor sociale bouwprojecten|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003092|Verstrekken van leningen aan initiatiefnemers|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000003093|Vergunningsbesluit|Vlaamse Milieumaatschappij|OVO000092
DVR000003094|Subsidiëring Polders & Wateringen|Vlaamse Milieumaatschappij|OVO000092
DVR000003095|Aanvraag of melding van de verbreking van de verzegeling van een watermeter of aanvraag van een (her)verzegeling|Vlaamse Milieumaatschappij|OVO000092
DVR000003096|Aanvraag tot vrijstelling van de heffingen op de waterverontreiniging om sociale reden|Vlaamse Milieumaatschappij|OVO000092
DVR000003097|Aanvraag van een vrijstelling van de heffing op de waterverontreiniging bij het gebruik van een IBA - Verklaring van de burgemeester|Vlaamse Milieumaatschappij|OVO000092
DVR000003098|Aanvraag voorschot subsidieerbare werken: verklaring op erewoord|Vlaamse Milieumaatschappij|OVO000092
DVR000003099|Subsidie kleinschalige waterzuiveringsinstallatie|Vlaamse Milieumaatschappij|OVO000092
DVR000003100|Activiteiten in het kader van het reglementering inzake de kwaliteit en levering van water bestemd voor menselijke consumptie|Vlaamse Milieumaatschappij|OVO000092
DVR000003101|Advies bodemsaneringsdossier|Vlaamse Milieumaatschappij|OVO000092
DVR000003102|Advies mbt grondwater|Vlaamse Milieumaatschappij|OVO000092
DVR000003103|Advies mbt lozing in de atmosfeer|Vlaamse Milieumaatschappij|OVO000092
DVR000003104|Advies mbt lozing van afvalwater|Vlaamse Milieumaatschappij|OVO000092
DVR000003105|Advies mbt omgevingsvergunning|Vlaamse Milieumaatschappij|OVO000092
DVR000003106|Adviezen - reguleren tarief saneringscomponenten|Vlaamse Milieumaatschappij|OVO000092
DVR000003107|Adviezen en behandeling afwijkingsaanvragen mbt pesticidengebruik, onderhouden website Zonderisgezonder, opmaken rapport Duurzaam Pesticidengebruik|Vlaamse Milieumaatschappij|OVO000092
DVR000003108|Subsidies riolering|Vlaamse Milieumaatschappij|OVO000092
DVR000003109|Erkenning voor boorbedrijven|Vlaamse Milieumaatschappij|OVO000092
DVR000003110|Inlichtingen mbt bemonstering van afvalwater|Vlaamse Milieumaatschappij|OVO000092
DVR000003111|Heffingsbiljet grondwater en afvalwater|Vlaamse Milieumaatschappij|OVO000092
DVR000003112|Jaarlijkse rapportering van de zelfcontrole op private waterbevoorrading voor menselijke consumptie|Vlaamse Milieumaatschappij|OVO000092
DVR000003113|Machtiging werken waterlopen|Vlaamse Milieumaatschappij|OVO000092
DVR000003114|Melding buitengebruikstelling waterwinning|Vlaamse Milieumaatschappij|OVO000092
DVR000003115|Melding ingebruikname eigen waterwinning|Vlaamse Milieumaatschappij|OVO000092
DVR000003116|Melding van de bemonstering voor de heffing op de waterverontreiniging|Vlaamse Milieumaatschappij|OVO000092
DVR000003117|Melding van de ingebruikname van een grondwaterwinning voor grootverbruikers|Vlaamse Milieumaatschappij|OVO000092
DVR000003118|Melding van de overstap van een zuivere eigenwater­winning naar een gemengde eigenwaterwinning (eigen waterwinning en leidingwater)|Vlaamse Milieumaatschappij|OVO000092
DVR000003119|Melding van meet- en bemonsteringsgegevens van het geloosde afvalwater voor de heffing op de waterverontreiniging|Vlaamse Milieumaatschappij|OVO000092
DVR000003120|Melding van meet- en bemonsteringsgegevens van het opgenomen oppervlaktewater voor de heffing op de waterverontreiniging|Vlaamse Milieumaatschappij|OVO000092
DVR000003121|Prestatievergelijking drinkwatermaatschappijen|Vlaamse Milieumaatschappij|OVO000092
DVR000003122|Project Rio-Leren|Vlaamse Milieumaatschappij|OVO000092
DVR000003123|Rapportering gemeentelijke sanering|Vlaamse Milieumaatschappij|OVO000092
DVR000003124|Rattenbestrijding|Vlaamse Milieumaatschappij|OVO000092
DVR000003125|Slibruiming|Vlaamse Milieumaatschappij|OVO000092
DVR000003126|Subsidieprogramma gemeentelijke saneringsinfrastructuur|Vlaamse Milieumaatschappij|OVO000092
DVR000003127|Subsidiëring Polders|Vlaamse Milieumaatschappij|OVO000092
DVR000003128|Vraagafhankelijk vervoer|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003129|Inruilen nummerplaat voor abonnement|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003130|Fietsvergoeding|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003131|Derdebetalersovereenkomsten|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003132|Verhoogde Tegemoetkoming (VT) [vroeger WIGW Omnio]|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003133|Verkoop abonnementen|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003134|Verkoop tickets|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000003135|Belastingvermindering bij renovatieovereenkomst (papa- en mamalening)|Wonen Vlaanderen|OVO000106
DVR000003136|Een voorlopige erkenning als paramedicus omzetten naar een definitieve erkenning|Agentschap Zorg en Gezondheid|OVO000059
DVR000003137|Een erkenning aanvragen als paramedicus|Agentschap Zorg en Gezondheid|OVO000059
DVR000003138|Een voordeel (of derogatie) op basis van verworven rechten aanvragen voor een paramedisch beroep|Agentschap Zorg en Gezondheid|OVO000059
DVR000003139|Een erkenning aanvragen als kinesitherapeut voor een bijzondere beroepsbekwaamheid|Agentschap Zorg en Gezondheid|OVO000059
DVR000003140|Een erkenning aanvragen als arts|Agentschap Zorg en Gezondheid|OVO000059
DVR000003141|Een erkenning aanvragen als tandarts|Agentschap Zorg en Gezondheid|OVO000059
DVR000003142|Financiering van lokale multidisciplinaire netwerken|Agentschap Zorg en Gezondheid|OVO000059
DVR000003143|Geïntegreerde Diensten voor Thuisverzorging|Agentschap Zorg en Gezondheid|OVO000059
DVR000003144|Gezondheidsgegevens raadplegen via de Patient Health Viewer|Agentschap Zorg en Gezondheid|OVO000059
DVR000003145|Palliatieve samenwerkingsverbanden|Agentschap Zorg en Gezondheid|OVO000059
DVR000003146|Zich registreren als zorgkundige|Agentschap Zorg en Gezondheid|OVO000059
DVR000003147|Een erkenning aanvragen als verpleegkundige voor een bijzondere beroepstitel of een bijzondere beroepsbekwaamheid|Agentschap Zorg en Gezondheid|OVO000059
DVR000003148|Een erkenning aanvragen als ziekenhuisapotheker|Agentschap Zorg en Gezondheid|OVO000059
DVR000003149|Een erkenning aanvragen om met een buitenlands diploma van binnen de EER of Zwitserland een gezondheidszorgberoep uit te oefenen|Agentschap Zorg en Gezondheid|OVO000059
DVR000003150|Een erkenning aanvragen voor een van de drie bijzondere beroepstitels: algemene tandheelkunde, orthodontie of parodontologie.|Agentschap Zorg en Gezondheid|OVO000059
DVR000003151|Een erkenning aanvragen als arts-specialist of huisarts|Agentschap Zorg en Gezondheid|OVO000059
